末代皇帝, 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,9.3,885781人评价
怦然心动, 罗伯·莱纳 Rob Reiner,2010,9.1,1834034人评价
寻梦环游记, 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,9.1,1680899人评价
活着, 张艺谋 Yimou Zhang,1994,9.3,845166人评价
蝙蝠侠：黑暗骑士, 克里斯托弗·诺兰 Christopher Nolan,2008,9.2,1058323人评价
哈利·波特与魔法石, Chris Columbus,2001,9.2,1192062人评价
指环王3：王者无敌, 彼得·杰克逊 Peter Jackson,2003,9.3,803464人评价
我不是药神, 文牧野 Muye Wen,2018,9.0,2105550人评价
乱世佳人, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,9.3,692283人评价
飞屋环游记, 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,9.1,1324910人评价
素媛, 李濬益 Jun-ik Lee,2013,9.3,687183人评价
哈尔的移动城堡, 宫崎骏 Hayao Miyazaki,2004,9.1,1026442人评价
十二怒汉, Sidney Lumet,1957,9.4,490948人评价
何以为家, 娜丁·拉巴基 Nadine Labaki,2018,9.1,1045149人评价
摔跤吧！爸爸, 涅提·蒂瓦里 Nitesh Tiwari,2016,9.0,1570495人评价
让子弹飞, 姜文 Wen Jiang,2010,9.0,1700344人评价
天空之城, 宫崎骏 Hayao Miyazaki,1986,9.2,874336人评价
鬼子来了, 姜文 Wen Jiang,2000,9.3,627076人评价
猫鼠游戏, 史蒂文·斯皮尔伯格 Steven Spielberg,2002,9.1,1025077人评价
少年派的奇幻漂流, 李安 Ang Lee,2012,9.1,1348325人评价
海蒂和爷爷, 阿兰·葛斯彭纳 Alain Gsponer,2015,9.3,613717人评价
钢琴家, 罗曼·波兰斯基 Roman Polanski,2002,9.3,639829人评价
大话西游之月光宝盒, 刘镇伟 Jeffrey Lau,1995,9.0,1222461人评价
指环王2：双塔奇兵, 彼得·杰克逊 Peter Jackson,2002,9.2,753229人评价
闻香识女人, 马丁·布莱斯 Martin Brest,1992,9.1,885229人评价
